SIC Code,Exiobase mapping,Industry Title
3576,Office machinery and computers (30),COMPUTER COMMUNICATIONS EQUIPMENT
3577,Office machinery and computers (30),"COMPUTER PERIPHERAL EQUIPMENT, NEC"
3578,Office machinery and computers (30),CALCULATING & ACCOUNTING MACHINES (NO ELECTRONIC COMPUTERS)
3579,Office machinery and computers (30),"OFFICE MACHINES, NEC"
3580,Machinery and equipment n.e.c. (29),REFRIGERATION & SERVICE INDUSTRY MACHINERY
3585,Machinery and equipment n.e.c. (29),AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP
3590,Machinery and equipment n.e.c. (29),MISC INDUSTRIAL & COMMERCIAL MACHINERY & EQUIPMENT
3600,Electrical machinery and apparatus n.e.c. (31),ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP)
3612,Electrical machinery and apparatus n.e.c. (31),"POWER, DISTRIBUTION & SPECIALTY TRANSFORMERS"
3613,Electrical machinery and apparatus n.e.c. (31),SWITCHGEAR & SWITCHBOARD APPARATUS
3620,Electrical machinery and apparatus n.e.c. (31),ELECTRICAL INDUSTRIAL APPARATUS
3621,Electrical machinery and apparatus n.e.c. (31),MOTORS & GENERATORS
3630,Electrical machinery and apparatus n.e.c. (31),HOUSEHOLD APPLIANCES
3634,Electrical machinery and apparatus n.e.c. (31),ELECTRIC HOUSEWARES & FANS
3640,Electrical machinery and apparatus n.e.c. (31),ELECTRIC LIGHTING & WIRING EQUIPMENT
3651,"Radio, television and communication equipment and apparatus (32)",HOUSEHOLD AUDIO & VIDEO EQUIPMENT
3652,"Radio, television and communication equipment and apparatus (32)",PHONOGRAPH RECORDS & PRERECORDED AUDIO TAPES & DISKS
3661,"Radio, television and communication equipment and apparatus (32)",TELEPHONE & TELEGRAPH APPARATUS
3663,"Radio, television and communication equipment and apparatus (32)",RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT
3669,"Radio, television and communication equipment and apparatus (32)","COMMUNICATIONS EQUIPMENT, NEC"
3670,"Radio, television and communication equipment and apparatus (32)",ELECTRONIC COMPONENTS & ACCESSORIES
3672,"Radio, television and communication equipment and apparatus (32)",PRINTED CIRCUIT BOARDS
3674,"Radio, television and communication equipment and apparatus (32)",SEMICONDUCTORS & RELATED DEVICES
3677,Electrical machinery and apparatus n.e.c. (31),"ELECTRONIC COILS, TRANSFORMERS & OTHER INDUCTORS"
3678,"Radio, television and communication equipment and apparatus (32)",ELECTRONIC CONNECTORS
3679,"Radio, television and communication equipment and apparatus (32)","ELECTRONIC COMPONENTS, NEC"
3690,Electrical machinery and apparatus n.e.c. (31),"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES"
3695,"Radio, television and communication equipment and apparatus (32)",MAGNETIC & OPTICAL RECORDING MEDIA
3711,"Motor vehicles, trailers and semi-trailers (34)",MOTOR VEHICLES & PASSENGER CAR BODIES
3713,"Motor vehicles, trailers and semi-trailers (34)",TRUCK & BUS BODIES
3714,"Motor vehicles, trailers and semi-trailers (34)",MOTOR VEHICLE PARTS & ACCESSORIES
3715,"Motor vehicles, trailers and semi-trailers (34)",TRUCK TRAILERS
3716,"Motor vehicles, trailers and semi-trailers (34)",MOTOR HOMES
3720,Other transport equipment (35),AIRCRAFT & PARTS
3721,Other transport equipment (35),AIRCRAFT
3724,Other transport equipment (35),AIRCRAFT ENGINES & ENGINE PARTS
3728,Other transport equipment (35),"AIRCRAFT PARTS & AUXILIARY EQUIPMENT, NEC"
3730,Other transport equipment (35),SHIP & BOAT BUILDING & REPAIRING
3743,Other transport equipment (35),RAILROAD EQUIPMENT
3751,Other transport equipment (35),"MOTORCYCLES, BICYCLES & PARTS"
3760,Other transport equipment (35),GUIDED MISSILES & SPACE VEHICLES & PARTS
3790,Other transport equipment (35),MISCELLANEOUS TRANSPORTATION EQUIPMENT
3812,"Medical, precision and optical instruments, watches and clocks (33)","SEARCH, DETECTION, NAVAGATION, GUIDANCE, AERONAUTICAL SYS"
3821,"Medical, precision and optical instruments, watches and clocks (33)",LABORATORY APPARATUS & FURNITURE
3822,"Medical, precision and optical instruments, watches and clocks (33)",AUTO CONTROLS FOR REGULATING RESIDENTIAL & COMML ENVIRONMENTS
3823,"Medical, precision and optical instruments, watches and clocks (33)","INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL"
3824,"Medical, precision and optical instruments, watches and clocks (33)",TOTALIZING FLUID METERS & COUNTING DEVICES
